index,bindingTitle,bindingId,publicationId,date,issue,generalType,publisher,pageNumber,textHighlights,terms,url,copyrights,references
167,Helsingin Sanomat,1175119,0355-2047,1917-12-01,279,NEWSPAPER,Sanoma Oy,1,,,https://digi.kansalliskirjasto.fi/sanomalehti/binding/1175119?page=1,Aineistoon voi liittyä käytön rajoituksia.,"Helsingin Sanomat, 01.12.1917, nro 279, s. 1
https://digi.kansalliskirjasto.fi/sanomalehti/binding/1175119?page=1
Kansalliskirjaston digitaaliset aineistot"
257,Aamulehti,766422,0355-6913,1917-12-01,242,NEWSPAPER,Aamulehti Yhtymä Oy,1,,,https://digi.kansalliskirjasto.fi/sanomalehti/binding/766422?page=1,Aineistoon voi liittyä käytön rajoituksia.,"Aamulehti, 01.12.1917, nro 242, s. 1
https://digi.kansalliskirjasto.fi/sanomalehti/binding/766422?page=1
Kansalliskirjaston digitaaliset aineistot"
256,Aamulehti,766423,0355-6913,1917-12-02,243,NEWSPAPER,Aamulehti Yhtymä Oy,1,,,https://digi.kansalliskirjasto.fi/sanomalehti/binding/766423?page=1,Aineistoon voi liittyä käytön rajoituksia.,"Aamulehti, 02.12.1917, nro 243, s. 1
https://digi.kansalliskirjasto.fi/sanomalehti/binding/766423?page=1
Kansalliskirjaston digitaaliset aineistot"
49,Uusi Suometar,1199730,1457-4721,1917-12-02,280,NEWSPAPER,Uuden Suomettaren Oy,1,,,https://digi.kansalliskirjasto.fi/sanomalehti/binding/1199730?page=1,Aineistoon voi liittyä käytön rajoituksia.,"Uusi Suometar, 02.12.1917, nro 280, s. 1
https://digi.kansalliskirjasto.fi/sanomalehti/binding/1199730?page=1
Kansalliskirjaston digitaaliset aineistot"
159,Helsingin Sanomat,1175127,0355-2047,1917-12-02,280,NEWSPAPER,Sanoma Oy,1,,,https://digi.kansalliskirjasto.fi/sanomalehti/binding/1175127?page=1,Aineistoon voi liittyä käytön rajoituksia.,"Helsingin Sanomat, 02.12.1917, nro 280, s. 1
https://digi.kansalliskirjasto.fi/sanomalehti/binding/1175127?page=1
Kansalliskirjaston digitaaliset aineistot"
48,Uusi Suometar,1199731,1457-4721,1917-12-03,281,NEWSPAPER,Uuden Suomettaren Oy,1,,,https://digi.kansalliskirjasto.fi/sanomalehti/binding/1199731?page=1,Aineistoon voi liittyä käytön rajoituksia.,"Uusi Suometar, 03.12.1917, nro 281, s. 1
https://digi.kansalliskirjasto.fi/sanomalehti/binding/1199731?page=1
Kansalliskirjaston digitaaliset aineistot"
158,Helsingin Sanomat,1175128,0355-2047,1917-12-03,281,NEWSPAPER,Sanoma Oy,1,,,https://digi.kansalliskirjasto.fi/sanomalehti/binding/1175128?page=1,Aineistoon voi liittyä käytön rajoituksia.,"Helsingin Sanomat, 03.12.1917, nro 281, s. 1
https://digi.kansalliskirjasto.fi/sanomalehti/binding/1175128?page=1
Kansalliskirjaston digitaaliset aineistot"
47,Uusi Suometar,1199732,1457-4721,1917-12-04,282,NEWSPAPER,Uuden Suomettaren Oy,1,,,https://digi.kansalliskirjasto.fi/sanomalehti/binding/1199732?page=1,Aineistoon voi liittyä käytön rajoituksia.,"Uusi Suometar, 04.12.1917, nro 282, s. 1
https://digi.kansalliskirjasto.fi/sanomalehti/binding/1199732?page=1
Kansalliskirjaston digitaaliset aineistot"
255,Aamulehti,766424,0355-6913,1917-12-04,244,NEWSPAPER,Aamulehti Yhtymä Oy,1,,,https://digi.kansalliskirjasto.fi/sanomalehti/binding/766424?page=1,Aineistoon voi liittyä käytön rajoituksia.,"Aamulehti, 04.12.1917, nro 244, s. 1
https://digi.kansalliskirjasto.fi/sanomalehti/binding/766424?page=1
Kansalliskirjaston digitaaliset aineistot"
157,Helsingin Sanomat,1175129,0355-2047,1917-12-04,282,NEWSPAPER,Sanoma Oy,1,,,https://digi.kansalliskirjasto.fi/sanomalehti/binding/1175129?page=1,Aineistoon voi liittyä käytön rajoituksia.,"Helsingin Sanomat, 04.12.1917, nro 282, s. 1
https://digi.kansalliskirjasto.fi/sanomalehti/binding/1175129?page=1
Kansalliskirjaston digitaaliset aineistot"
46,Uusi Suometar,1199733,1457-4721,1917-12-05,283,NEWSPAPER,Uuden Suomettaren Oy,1,,,https://digi.kansalliskirjasto.fi/sanomalehti/binding/1199733?page=1,Aineistoon voi liittyä käytön rajoituksia.,"Uusi Suometar, 05.12.1917, nro 283, s. 1
https://digi.kansalliskirjasto.fi/sanomalehti/binding/1199733?page=1
Kansalliskirjaston digitaaliset aineistot"
160,Helsingin Sanomat,1175126,0355-2047,1917-12-05,283,NEWSPAPER,Sanoma Oy,1,,,https://digi.kansalliskirjasto.fi/sanomalehti/binding/1175126?page=1,Aineistoon voi liittyä käytön rajoituksia.,"Helsingin Sanomat, 05.12.1917, nro 283, s. 1
https://digi.kansalliskirjasto.fi/sanomalehti/binding/1175126?page=1
Kansalliskirjaston digitaaliset aineistot"
254,Aamulehti,766425,0355-6913,1917-12-05,245,NEWSPAPER,Aamulehti Yhtymä Oy,1,,,https://digi.kansalliskirjasto.fi/sanomalehti/binding/766425?page=1,Aineistoon voi liittyä käytön rajoituksia.,"Aamulehti, 05.12.1917, nro 245, s. 1
https://digi.kansalliskirjasto.fi/sanomalehti/binding/766425?page=1
Kansalliskirjaston digitaaliset aineistot"
